classname,method,docstring,method_definition
org.jsoup.helper.W3CDom,"selectXpath(String xpath, Node contextNode)","/**
     Evaluate an XPath query against the supplied context node, and return the results.
     @param xpath an XPath query
     @param contextNode the context node to evaluate against
     @return the matches nodes
     */","public NodeList selectXpath(String xpath, Node contextNode) {
        Validate.notEmptyParam(xpath, ""xpath"");
        Validate.notNullParam(contextNode, ""contextNode"");

        NodeList nodeList;
        try {
            // if there is a configured XPath factory, use that instead of the Java base impl:
            String property = System.getProperty(XPathFactoryProperty);
            final XPathFactory xPathFactory = property != null ?
                XPathFactory.newInstance(""jsoup"") :
                XPathFactory.newInstance();

            XPathExpression expression = xPathFactory.newXPath().compile(xpath);
            nodeList = (NodeList) expression.evaluate(contextNode, XPathConstants.NODESET); // love the strong typing here /s
            Validate.notNull(nodeList);
        } catch (XPathExpressionException | XPathFactoryConfigurationException e) {
            throw new Selector.SelectorParseException(""Could not evaluate XPath query [%s]: %s"", xpath, e.getMessage());
        }
        return nodeList;
    }"
org.jsoup.helper.W3CDom,"sourceNodes(NodeList nodeList, Class<T> nodeType)","/**
     Retrieves the original jsoup DOM nodes from a nodelist created by this convertor.
     @param nodeList the W3C nodes to get the original jsoup nodes from
     @param nodeType the jsoup node type to retrieve (e.g. Element, DataNode, etc)
     @param <T> node type
     @return a list of the original nodes
     */","public <T extends org.jsoup.nodes.Node> List<T> sourceNodes(NodeList nodeList, Class<T> nodeType) {
        Validate.notNull(nodeList);
        Validate.notNull(nodeType);
        List<T> nodes = new ArrayList<>(nodeList.getLength());

        for (int i = 0; i < nodeList.getLength(); i++) {
            org.w3c.dom.Node node = nodeList.item(i);
            Object source = node.getUserData(W3CDom.SourceProperty);
            if (nodeType.isInstance(source))
                nodes.add(nodeType.cast(source));
        }

        return nodes;
    }"
org.jsoup.helper.W3CDom,contextNode(Document wDoc),"/**
     For a Document created by {@link #fromJsoup(org.jsoup.nodes.Element)}, retrieves the W3C context node.
     @param wDoc Document created by this class
     @return the corresponding W3C Node to the jsoup Element that was used as the creating context.
     */","public Node contextNode(Document wDoc) {
        return (Node) wDoc.getUserData(ContextNodeProperty);
    }"
org.jsoup.helper.W3CDom,asString(Document doc),"/**
     * Serialize a W3C document to a String. The output format will be XML or HTML depending on the content of the doc.
     *
     * @param doc Document
     * @return Document as string
     * @see W3CDom#asString(Document, Map)
     */","public String asString(Document doc) {
        return asString(doc, null);
    }"
org.jsoup.helper.W3CDom.W3CBuilder,"void head(org.jsoup.nodes.Node source, int depth)",,"public void head(org.jsoup.nodes.Node source, int depth) {
            namespacesStack.push(new HashMap<>(namespacesStack.peek())); // inherit from above on the stack
            if (source instanceof org.jsoup.nodes.Element) {
                org.jsoup.nodes.Element sourceEl = (org.jsoup.nodes.Element) source;

                String prefix = updateNamespaces(sourceEl);
                String namespace = namespaceAware ? namespacesStack.peek().get(prefix) : null;
                String tagName = sourceEl.tagName();

                /* Tag names in XML are quite permissive, but less permissive than HTML. Rather than reimplement the validation,
                we just try to use it as-is. If it fails, insert as a text node instead. We don't try to normalize the
                tagname to something safe, because that isn't going to be meaningful downstream. This seems(?) to be
                how browsers handle the situation, also. https://github.com/jhy/jsoup/issues/1093 */
                try {
                    Element el = namespace == null && tagName.contains("":"") ?
                        doc.createElementNS("""", tagName) : // doesn't have a real namespace defined
                        doc.createElementNS(namespace, tagName);
                    copyAttributes(sourceEl, el);
                    append(el, sourceEl);
                    if (sourceEl == contextElement)
                        doc.setUserData(ContextNodeProperty, el, null);
                    dest = el; // descend
                } catch (DOMException e) {
                    append(doc.createTextNode(""<"" + tagName + "">""), sourceEl);
                }
            } else if (source instanceof org.jsoup.nodes.TextNode) {
                org.jsoup.nodes.TextNode sourceText = (org.jsoup.nodes.TextNode) source;
                Text text = doc.createTextNode(sourceText.getWholeText());
                append(text, sourceText);
            } else if (source instanceof org.jsoup.nodes.Comment) {
                org.jsoup.nodes.Comment sourceComment = (org.jsoup.nodes.Comment) source;
                Comment comment = doc.createComment(sourceComment.getData());
                append(comment, sourceComment);
            } else if (source instanceof org.jsoup.nodes.DataNode) {
                org.jsoup.nodes.DataNode sourceData = (org.jsoup.nodes.DataNode) source;
                Text node = doc.createTextNode(sourceData.getWholeData());
                append(node, sourceData);
            } else {
                // unhandled. note that doctype is not handled here - rather it is used in the initial doc creation
            }
        }"
org.jsoup.helper.W3CDom.W3CBuilder,"void append(Node append, org.jsoup.nodes.Node source)",,"private void append(Node append, org.jsoup.nodes.Node source) {
            append.setUserData(SourceProperty, source, null);
            dest.appendChild(append);
        }"
org.jsoup.helper.W3CDom.W3CBuilder,"void tail(org.jsoup.nodes.Node source, int depth)",,"public void tail(org.jsoup.nodes.Node source, int depth) {
            if (source instanceof org.jsoup.nodes.Element && dest.getParentNode() instanceof Element) {
                dest = dest.getParentNode(); // undescend
            }
            namespacesStack.pop();
        }"
org.jsoup.helper.W3CDom.W3CBuilder,"void copyAttributes(org.jsoup.nodes.Node source, Element el)",,"private void copyAttributes(org.jsoup.nodes.Node source, Element el) {
            for (Attribute attribute : source.attributes()) {
                String key = Attribute.getValidKey(attribute.getKey(), syntax);
                if (key != null) { // null if couldn't be coerced to validity
                    el.setAttribute(key, attribute.getValue());
                }
            }
        }"
org.jsoup.helper.W3CDom.W3CBuilder,updateNamespaces(org.jsoup.nodes.Element el),"/**
         * Finds any namespaces defined in this element. Returns any tag prefix.
         */","private String updateNamespaces(org.jsoup.nodes.Element el) {
            // scan the element for namespace declarations
            // like: xmlns=""blah"" or xmlns:prefix=""blah""
            Attributes attributes = el.attributes();
            for (Attribute attr : attributes) {
                String key = attr.getKey();
                String prefix;
                if (key.equals(xmlnsKey)) {
                    prefix = """";
                } else if (key.startsWith(xmlnsPrefix)) {
                    prefix = key.substring(xmlnsPrefix.length());
                } else {
                    continue;
                }
                namespacesStack.peek().put(prefix, attr.getValue());
            }

            // get the element prefix if any
            int pos = el.tagName().indexOf(':');
            return pos > 0 ? el.tagName().substring(0, pos) : """";
        }"
org.jsoup.helper.DataUtil,"load(File file, @Nullable String charsetName, String baseUri)","/**
     * Loads and parses a file to a Document, with the HtmlParser. Files that are compressed with gzip (and end in {@code .gz} or {@code .z})
     * are supported in addition to uncompressed files.
     *
     * @param file file to load
     * @param charsetName (optional) character set of input; specify {@code null} to attempt to autodetect. A BOM in
     *     the file will always override this setting.
     * @param baseUri base URI of document, to resolve relative links against
     * @return Document
     * @throws IOException on IO error
     */","public static Document load(File file, @Nullable String charsetName, String baseUri) throws IOException {
        return load(file, charsetName, baseUri, Parser.htmlParser());
    }"
org.jsoup.helper.DataUtil,"load(File file, @Nullable String charsetName, String baseUri, Parser parser)","/**
     * Loads and parses a file to a Document. Files that are compressed with gzip (and end in {@code .gz} or {@code .z})
     * are supported in addition to uncompressed files.
     *
     * @param file file to load
     * @param charsetName (optional) character set of input; specify {@code null} to attempt to autodetect. A BOM in
     *     the file will always override this setting.
     * @param baseUri base URI of document, to resolve relative links against
     * @param parser alternate {@link Parser#xmlParser() parser} to use.

     * @return Document
     * @throws IOException on IO error
     * @since 1.14.2
     */","public static Document load(File file, @Nullable String charsetName, String baseUri, Parser parser) throws IOException {
        InputStream stream = new FileInputStream(file);
        String name = Normalizer.lowerCase(file.getName());
        if (name.endsWith("".gz"") || name.endsWith("".z"")) {
            // unfortunately file input streams don't support marks (why not?), so we will close and reopen after read
            boolean zipped;
            try {
                zipped = (stream.read() == 0x1f && stream.read() == 0x8b); // gzip magic bytes
            } finally {
                stream.close();

            }
            stream = zipped ? new GZIPInputStream(new FileInputStream(file)) : new FileInputStream(file);
        }
        return parseInputStream(stream, charsetName, baseUri, parser);
    }"
org.jsoup.helper.DataUtil,"load(@WillClose InputStream in, @Nullable String charsetName, String baseUri)","/**
     * Parses a Document from an input steam.
     * @param in input stream to parse. The stream will be closed after reading.
     * @param charsetName character set of input (optional)
     * @param baseUri base URI of document, to resolve relative links against
     * @return Document
     * @throws IOException on IO error
     */","public static Document load(@WillClose InputStream in, @Nullable String charsetName, String baseUri) throws IOException {
        return parseInputStream(in, charsetName, baseUri, Parser.htmlParser());
    }"
org.jsoup.helper.DataUtil,"load(@WillClose InputStream in, @Nullable String charsetName, String baseUri, Parser parser)","/**
     * Parses a Document from an input steam, using the provided Parser.
     * @param in input stream to parse. The stream will be closed after reading.
     * @param charsetName character set of input (optional)
     * @param baseUri base URI of document, to resolve relative links against
     * @param parser alternate {@link Parser#xmlParser() parser} to use.
     * @return Document
     * @throws IOException on IO error
     */","public static Document load(@WillClose InputStream in, @Nullable String charsetName, String baseUri, Parser parser) throws IOException {
        return parseInputStream(in, charsetName, baseUri, parser);
    }"
org.jsoup.helper.DataUtil,"void crossStreams(final InputStream in, final OutputStream out)","/**
     * Writes the input stream to the output stream. Doesn't close them.
     * @param in input stream to read from
     * @param out output stream to write to
     * @throws IOException on IO error
     */","static void crossStreams(final InputStream in, final OutputStream out) throws IOException {
        final byte[] buffer = new byte[bufferSize];
        int len;
        while ((len = in.read(buffer)) != -1) {
            out.write(buffer, 0, len);
        }
    }"
org.jsoup.helper.DataUtil,"parseInputStream(@Nullable @WillClose InputStream input, @Nullable String charsetName, String baseUri, Parser parser)",,"static Document parseInputStream(@Nullable @WillClose InputStream input, @Nullable String charsetName, String baseUri, Parser parser) throws IOException  {
        if (input == null) // empty body
            return new Document(baseUri);
        input = ConstrainableInputStream.wrap(input, bufferSize, 0);

        @Nullable Document doc = null;

        // read the start of the stream and look for a BOM or meta charset
        try {
            input.mark(bufferSize);
            ByteBuffer firstBytes = readToByteBuffer(input, firstReadBufferSize - 1); // -1 because we read one more to see if completed. First read is < buffer size, so can't be invalid.
            boolean fullyRead = (input.read() == -1);
            input.reset();

            // look for BOM - overrides any other header or input
            BomCharset bomCharset = detectCharsetFromBom(firstBytes);
            if (bomCharset != null)
                charsetName = bomCharset.charset;

            if (charsetName == null) { // determine from meta. safe first parse as UTF-8
                try {
                    CharBuffer defaultDecoded = UTF_8.decode(firstBytes);
                    if (defaultDecoded.hasArray())
                        doc = parser.parseInput(new CharArrayReader(defaultDecoded.array(), defaultDecoded.arrayOffset(), defaultDecoded.limit()), baseUri);
                    else
                        doc = parser.parseInput(defaultDecoded.toString(), baseUri);
                } catch (UncheckedIOException e) {
                    throw e.ioException();
                }

                // look for <meta http-equiv=""Content-Type"" content=""text/html;charset=gb2312""> or HTML5 <meta charset=""gb2312"">
                Elements metaElements = doc.select(""meta[http-equiv=content-type], meta[charset]"");
                String foundCharset = null; // if not found, will keep utf-8 as best attempt
                for (Element meta : metaElements) {
                    if (meta.hasAttr(""http-equiv""))
                        foundCharset = getCharsetFromContentType(meta.attr(""content""));
                    if (foundCharset == null && meta.hasAttr(""charset""))
                        foundCharset = meta.attr(""charset"");
                    if (foundCharset != null)
                        break;
                }

                // look for <?xml encoding='ISO-8859-1'?>
                if (foundCharset == null && doc.childNodeSize() > 0) {
                    Node first = doc.childNode(0);
                    XmlDeclaration decl = null;
                    if (first instanceof XmlDeclaration)
                        decl = (XmlDeclaration) first;
                    else if (first instanceof Comment) {
                        Comment comment = (Comment) first;
                        if (comment.isXmlDeclaration())
                            decl = comment.asXmlDeclaration();
                    }
                    if (decl != null) {
                        if (decl.name().equalsIgnoreCase(""xml""))
                            foundCharset = decl.attr(""encoding"");
                    }
                }
                foundCharset = validateCharset(foundCharset);
                if (foundCharset != null && !foundCharset.equalsIgnoreCase(defaultCharsetName)) { // need to re-decode. (case insensitive check here to match how validate works)
                    foundCharset = foundCharset.trim().replaceAll(""[\""']"", """");
                    charsetName = foundCharset;
                    doc = null;
                } else if (!fullyRead) {
                    doc = null;
                }
            } else { // specified by content type header (or by user on file load)
                Validate.notEmpty(charsetName, ""Must set charset arg to character set of file to parse. Set to null to attempt to detect from HTML"");
            }
            if (doc == null) {
                if (charsetName == null)
                    charsetName = defaultCharsetName;
                BufferedReader reader = new BufferedReader(new InputStreamReader(input, Charset.forName(charsetName)), bufferSize); // Android level does not allow us try-with-resources
                try {
                    if (bomCharset != null && bomCharset.offset) { // creating the buffered reader ignores the input pos, so must skip here
                        long skipped = reader.skip(1);
                        Validate.isTrue(skipped == 1); // WTF if this fails.
                    }
                    try {
                        doc = parser.parseInput(reader, baseUri);
                    } catch (UncheckedIOException e) {
                        // io exception when parsing (not seen before because reading the stream as we go)
                        throw e.ioException();
                    }
                    Charset charset = charsetName.equals(defaultCharsetName) ? UTF_8 : Charset.forName(charsetName);
                    doc.outputSettings().charset(charset);
                    if (!charset.canEncode()) {
                        // some charsets can read but not encode; switch to an encodable charset and update the meta el
                        doc.charset(UTF_8);
                    }
                }
                finally {
                    reader.close();
                }
            }
        }
        finally {
            input.close();
        }
        return doc;
    }"
org.jsoup.helper.DataUtil,"readToByteBuffer(InputStream inStream, int maxSize)","/**
     * Read the input stream into a byte buffer. To deal with slow input streams, you may interrupt the thread this
     * method is executing on. The data read until being interrupted will be available.
     * @param inStream the input stream to read from
     * @param maxSize the maximum size in bytes to read from the stream. Set to 0 to be unlimited.
     * @return the filled byte buffer
     * @throws IOException if an exception occurs whilst reading from the input stream.
     */","public static ByteBuffer readToByteBuffer(InputStream inStream, int maxSize) throws IOException {
        Validate.isTrue(maxSize >= 0, ""maxSize must be 0 (unlimited) or larger"");
        final ConstrainableInputStream input = ConstrainableInputStream.wrap(inStream, bufferSize, maxSize);
        return input.readToByteBuffer(maxSize);
    }"
org.jsoup.helper.DataUtil,emptyByteBuffer(),,"static ByteBuffer emptyByteBuffer() {
        return ByteBuffer.allocate(0);
    }"
org.jsoup.helper.DataUtil,getCharsetFromContentType(@Nullable String contentType),"/**
     * Parse out a charset from a content type header. If the charset is not supported, returns null (so the default
     * will kick in.)
     * @param contentType e.g. ""text/html; charset=EUC-JP""
     * @return ""EUC-JP"", or null if not found. Charset is trimmed and uppercased.
     */","static @Nullable String getCharsetFromContentType(@Nullable String contentType) {
        if (contentType == null) return null;
        Matcher m = charsetPattern.matcher(contentType);
        if (m.find()) {
            String charset = m.group(1).trim();
            charset = charset.replace(""charset="", """");
            return validateCharset(charset);
        }
        return null;
    }"
org.jsoup.helper.DataUtil,validateCharset(@Nullable String cs),,"private @Nullable static String validateCharset(@Nullable String cs) {
        if (cs == null || cs.length() == 0) return null;
        cs = cs.trim().replaceAll(""[\""']"", """");
        try {
            if (Charset.isSupported(cs)) return cs;
            cs = cs.toUpperCase(Locale.ENGLISH);
            if (Charset.isSupported(cs)) return cs;
        } catch (IllegalCharsetNameException e) {
            // if our this charset matching fails.... we just take the default
        }
        return null;
    }"
org.jsoup.helper.DataUtil,mimeBoundary(),"/**
     * Creates a random string, suitable for use as a mime boundary
     */","static String mimeBoundary() {
        final StringBuilder mime = StringUtil.borrowBuilder();
        final Random rand = new Random();
        for (int i = 0; i < boundaryLength; i++) {
            mime.append(mimeBoundaryChars[rand.nextInt(mimeBoundaryChars.length)]);
        }
        return StringUtil.releaseBuilder(mime);
    }"
org.jsoup.helper.DataUtil,detectCharsetFromBom(final ByteBuffer byteData),,"private static @Nullable BomCharset detectCharsetFromBom(final ByteBuffer byteData) {
        @SuppressWarnings(""UnnecessaryLocalVariable"") final Buffer buffer = byteData; // .mark and rewind used to return Buffer, now ByteBuffer, so cast for backward compat
        buffer.mark();
        byte[] bom = new byte[4];
        if (byteData.remaining() >= bom.length) {
            byteData.get(bom);
            buffer.rewind();
        }
        if (bom[0] == 0x00 && bom[1] == 0x00 && bom[2] == (byte) 0xFE && bom[3] == (byte) 0xFF || // BE
            bom[0] == (byte) 0xFF && bom[1] == (byte) 0xFE && bom[2] == 0x00 && bom[3] == 0x00) { // LE
            return new BomCharset(""UTF-32"", false); // and I hope it's on your system
        } else if (bom[0] == (byte) 0xFE && bom[1] == (byte) 0xFF || // BE
            bom[0] == (byte) 0xFF && bom[1] == (byte) 0xFE) {
            return new BomCharset(""UTF-16"", false); // in all Javas
        } else if (bom[0] == (byte) 0xEF && bom[1] == (byte) 0xBB && bom[2] == (byte) 0xBF) {
            return new BomCharset(""UTF-8"", true); // in all Javas
            // 16 and 32 decoders consume the BOM to determine be/le; utf-8 should be consumed here
        }
        return null;
    }"
org.jsoup.helper.Consumer,void accept(T t),"/**
     * Execute this operation on the supplied argument. It is expected to have side effects.
     *
     * @param t the input argument
     */",void accept(T t);
org.jsoup.helper.CookieUtil,"void applyCookiesToRequest(HttpConnection.Request req, HttpURLConnection con)","/**
     Pre-request, get any applicable headers out of the Request cookies and the Cookie Store, and add them to the request
     headers. If the Cookie Store duplicates any Request cookies (same name and value), they will be discarded.
     */","static void applyCookiesToRequest(HttpConnection.Request req, HttpURLConnection con) throws IOException {
        // Request key/val cookies. LinkedHashSet used to preserve order, as cookie store will return most specific path first
        Set<String> cookieSet = requestCookieSet(req);
        Set<String> cookies2 = null;

        // stored:
        Map<String, List<String>> storedCookies = req.cookieManager().get(asUri(req.url), EmptyRequestHeaders);
        for (Map.Entry<String, List<String>> entry : storedCookies.entrySet()) {
            // might be Cookie: name=value; name=value\nCookie2: name=value; name=value
            List<String> cookies = entry.getValue(); // these will be name=val
            if (cookies == null || cookies.size() == 0) // the cookie store often returns just an empty ""Cookie"" key, no val
                continue;

            String key = entry.getKey(); // Cookie or Cookie2
            Set<String> set;
            if (CookieName.equals(key))
                set = cookieSet;
            else if (Cookie2Name.equals(key)) {
                set = new HashSet<>();
                cookies2 = set;
            } else {
                continue; // unexpected header key
            }
            set.addAll(cookies);
        }

        if (cookieSet.size() > 0)
            con.addRequestProperty(CookieName, StringUtil.join(cookieSet, Sep));
        if (cookies2 != null && cookies2.size() > 0)
            con.addRequestProperty(Cookie2Name, StringUtil.join(cookies2, Sep));
    }"
org.jsoup.helper.CookieUtil,requestCookieSet(Connection.Request req),,"private static LinkedHashSet<String> requestCookieSet(Connection.Request req) {
        LinkedHashSet<String> set = new LinkedHashSet<>();
        // req cookies are the wildcard key/val cookies (no domain, path, etc)
        for (Map.Entry<String, String> cookie : req.cookies().entrySet()) {
            set.add(cookie.getKey() + ""="" + cookie.getValue());
        }
        return set;
    }"
org.jsoup.helper.CookieUtil,asUri(URL url),,"static URI asUri(URL url) throws IOException {
        try {
            return url.toURI();
        } catch (URISyntaxException e) {  // this would be a WTF because we construct the URL
            MalformedURLException ue = new MalformedURLException(e.getMessage());
            ue.initCause(e);
            throw ue;
        }
    }"
org.jsoup.helper.CookieUtil,"void storeCookies(HttpConnection.Request req, URL url, Map<String, List<String>> resHeaders)",,"static void storeCookies(HttpConnection.Request req, URL url, Map<String, List<String>> resHeaders) throws IOException {
        req.cookieManager().put(CookieUtil.asUri(url), resHeaders); // stores cookies for session

    }"
org.jsoup.helper.ValidationException,fillInStackTrace(),,"@Override
    public synchronized Throwable fillInStackTrace() {
        // Filters out the Validate class from the stacktrace, to more clearly point at the root-cause.

        super.fillInStackTrace();

        StackTraceElement[] stackTrace = getStackTrace();
        List<StackTraceElement> filteredTrace = new ArrayList<>();
        for (StackTraceElement trace : stackTrace) {
            if (trace.getClassName().equals(Validator)) continue;
            filteredTrace.add(trace);
        }

        setStackTrace(filteredTrace.toArray(new StackTraceElement[0]));

        return this;
    }"
org.jsoup.helper.HttpConnection,connect(String url),"/**
     Create a new Connection, with the request URL specified.
     @param url the URL to fetch from
     @return a new Connection object
     */","public static Connection connect(String url) {
        Connection con = new HttpConnection();
        con.url(url);
        return con;
    }"
org.jsoup.helper.HttpConnection,connect(URL url),"/**
     Create a new Connection, with the request URL specified.
     @param url the URL to fetch from
     @return a new Connection object
     */","public static Connection connect(URL url) {
        Connection con = new HttpConnection();
        con.url(url);
        return con;
    }"
org.jsoup.helper.HttpConnection,encodeUrl(String url),"/**
     * Encodes the input URL into a safe ASCII URL string
     * @param url unescaped URL
     * @return escaped URL
     */","private static String encodeUrl(String url) {
        try {
            URL u = new URL(url);
            return encodeUrl(u).toExternalForm();
        } catch (Exception e) {
            return url;
        }
	}"
org.jsoup.helper.HttpConnection,encodeUrl(URL u),,"static URL encodeUrl(URL u) {
	    u = punyUrl(u);
        try {
            //  odd way to encode urls, but it works!
            String urlS = u.toExternalForm(); // URL external form may have spaces which is illegal in new URL() (odd asymmetry)
            urlS = urlS.replace("" "", ""%20"");
            final URI uri = new URI(urlS);
            return new URL(uri.toASCIIString());
        } catch (URISyntaxException | MalformedURLException e) {
            // give up and return the original input
            return u;
        }
    }"
org.jsoup.helper.HttpConnection,punyUrl(URL url),"/**
     Convert an International URL to a Punycode URL.
     @param url input URL that may include an international hostname
     @return a punycode URL if required, or the original URL
     */","private static URL punyUrl(URL url) {
        if (!StringUtil.isAscii(url.getHost())) {
            try {
                String puny = IDN.toASCII(url.getHost());
                url = new URL(url.getProtocol(), puny, url.getPort(), url.getFile()); // file will include ref, query if any
            } catch (MalformedURLException e) {
                // if passed a valid URL initially, cannot happen
                throw new IllegalArgumentException(e);
            }
        }
        return url;
    }"
org.jsoup.helper.HttpConnection,encodeMimeName(String val),,"private static String encodeMimeName(String val) {
        return val.replace(""\"""", ""%22"");
    }"
org.jsoup.helper.HttpConnection,newRequest(),,"@Override
    public Connection newRequest() {
        // copy the prototype request for the different settings, cookie manager, etc
        return new HttpConnection(req);
    }"
org.jsoup.helper.HttpConnection,url(URL url),,"public Connection url(URL url) {
        req.url(url);
        return this;
    }"
org.jsoup.helper.HttpConnection,url(String url),,"public Connection url(String url) {
        Validate.notEmptyParam(url, ""url"");
        try {
            req.url(new URL(encodeUrl(url)));
        } catch (MalformedURLException e) {
            throw new IllegalArgumentException(String.format(""The supplied URL, '%s', is malformed. Make sure it is an absolute URL, and starts with 'http://' or 'https://'. See https://jsoup.org/cookbook/extracting-data/working-with-urls"", url), e);
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,proxy(@Nullable Proxy proxy),,"public Connection proxy(@Nullable Proxy proxy) {
        req.proxy(proxy);
        return this;
    }"
org.jsoup.helper.HttpConnection,"proxy(String host, int port)",,"public Connection proxy(String host, int port) {
        req.proxy(host, port);
        return this;
    }"
org.jsoup.helper.HttpConnection,userAgent(String userAgent),,"public Connection userAgent(String userAgent) {
        Validate.notNullParam(userAgent, ""userAgent"");
        req.header(USER_AGENT, userAgent);
        return this;
    }"
org.jsoup.helper.HttpConnection,timeout(int millis),,"public Connection timeout(int millis) {
        req.timeout(millis);
        return this;
    }"
org.jsoup.helper.HttpConnection,maxBodySize(int bytes),,"public Connection maxBodySize(int bytes) {
        req.maxBodySize(bytes);
        return this;
    }"
org.jsoup.helper.HttpConnection,followRedirects(boolean followRedirects),,"public Connection followRedirects(boolean followRedirects) {
        req.followRedirects(followRedirects);
        return this;
    }"
org.jsoup.helper.HttpConnection,referrer(String referrer),,"public Connection referrer(String referrer) {
        Validate.notNullParam(referrer, ""referrer"");
        req.header(""Referer"", referrer);
        return this;
    }"
org.jsoup.helper.HttpConnection,method(Method method),,"public Connection method(Method method) {
        req.method(method);
        return this;
    }"
org.jsoup.helper.HttpConnection,ignoreHttpErrors(boolean ignoreHttpErrors),,"public Connection ignoreHttpErrors(boolean ignoreHttpErrors) {
		req.ignoreHttpErrors(ignoreHttpErrors);
		return this;
	}"
org.jsoup.helper.HttpConnection,ignoreContentType(boolean ignoreContentType),,"public Connection ignoreContentType(boolean ignoreContentType) {
        req.ignoreContentType(ignoreContentType);
        return this;
    }"
org.jsoup.helper.HttpConnection,"data(String key, String value)",,"public Connection data(String key, String value) {
        req.data(KeyVal.create(key, value));
        return this;
    }"
org.jsoup.helper.HttpConnection,sslSocketFactory(SSLSocketFactory sslSocketFactory),,"public Connection sslSocketFactory(SSLSocketFactory sslSocketFactory) {
	    req.sslSocketFactory(sslSocketFactory);
	    return this;
    }"
org.jsoup.helper.HttpConnection,"data(String key, String filename, InputStream inputStream)",,"public Connection data(String key, String filename, InputStream inputStream) {
        req.data(KeyVal.create(key, filename, inputStream));
        return this;
    }"
org.jsoup.helper.HttpConnection,"data(String key, String filename, InputStream inputStream, String contentType)",,"@Override
    public Connection data(String key, String filename, InputStream inputStream, String contentType) {
        req.data(KeyVal.create(key, filename, inputStream).contentType(contentType));
        return this;
    }"
org.jsoup.helper.HttpConnection,"data(Map<String, String> data)",,"public Connection data(Map<String, String> data) {
        Validate.notNullParam(data, ""data"");
        for (Map.Entry<String, String> entry : data.entrySet()) {
            req.data(KeyVal.create(entry.getKey(), entry.getValue()));
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,data(String... keyvals),,"public Connection data(String... keyvals) {
        Validate.notNullParam(keyvals, ""keyvals"");
        Validate.isTrue(keyvals.length %2 == 0, ""Must supply an even number of key value pairs"");
        for (int i = 0; i < keyvals.length; i += 2) {
            String key = keyvals[i];
            String value = keyvals[i+1];
            Validate.notEmpty(key, ""Data key must not be empty"");
            Validate.notNull(value, ""Data value must not be null"");
            req.data(KeyVal.create(key, value));
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,data(Collection<Connection.KeyVal> data),,"public Connection data(Collection<Connection.KeyVal> data) {
        Validate.notNullParam(data, ""data"");
        for (Connection.KeyVal entry: data) {
            req.data(entry);
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,data(String key),,"public Connection.KeyVal data(String key) {
        Validate.notEmptyParam(key, ""key"");
        for (Connection.KeyVal keyVal : request().data()) {
            if (keyVal.key().equals(key))
                return keyVal;
        }
        return null;
    }"
org.jsoup.helper.HttpConnection,requestBody(String body),,"public Connection requestBody(String body) {
        req.requestBody(body);
        return this;
    }"
org.jsoup.helper.HttpConnection,"header(String name, String value)",,"public Connection header(String name, String value) {
        req.header(name, value);
        return this;
    }"
org.jsoup.helper.HttpConnection,"headers(Map<String,String> headers)",,"public Connection headers(Map<String,String> headers) {
        Validate.notNullParam(headers, ""headers"");
        for (Map.Entry<String,String> entry : headers.entrySet()) {
            req.header(entry.getKey(),entry.getValue());
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,"cookie(String name, String value)",,"public Connection cookie(String name, String value) {
        req.cookie(name, value);
        return this;
    }"
org.jsoup.helper.HttpConnection,"cookies(Map<String, String> cookies)",,"public Connection cookies(Map<String, String> cookies) {
        Validate.notNullParam(cookies, ""cookies"");
        for (Map.Entry<String, String> entry : cookies.entrySet()) {
            req.cookie(entry.getKey(), entry.getValue());
        }
        return this;
    }"
org.jsoup.helper.HttpConnection,cookieStore(CookieStore cookieStore),,"@Override
    public Connection cookieStore(CookieStore cookieStore) {
        // create a new cookie manager using the new store
        req.cookieManager = new CookieManager(cookieStore, null);
        return this;
    }"
org.jsoup.helper.HttpConnection,cookieStore(),,"@Override
    public CookieStore cookieStore() {
        return req.cookieManager.getCookieStore();
    }"
org.jsoup.helper.HttpConnection,parser(Parser parser),,"public Connection parser(Parser parser) {
        req.parser(parser);
        return this;
    }"
org.jsoup.helper.HttpConnection,get(),,"public Document get() throws IOException {
        req.method(Method.GET);
        execute();
        Validate.notNull(res);
        return res.parse();
    }"
org.jsoup.helper.HttpConnection,post(),,"public Document post() throws IOException {
        req.method(Method.POST);
        execute();
        Validate.notNull(res);
        return res.parse();
    }"
org.jsoup.helper.HttpConnection,execute(),,"public Connection.Response execute() throws IOException {
        res = Response.execute(req);
        return res;
    }"
org.jsoup.helper.HttpConnection,request(),,"public Connection.Request request() {
        return req;
    }"
org.jsoup.helper.HttpConnection,request(Connection.Request request),,"public Connection request(Connection.Request request) {
        req = (HttpConnection.Request) request; // will throw a class-cast exception if the user has extended some but not all of Connection; that's desired
        return this;
    }"
org.jsoup.helper.HttpConnection,response(),,"public Connection.Response response() {
        if (res == null) {
            throw new IllegalArgumentException(""You must execute the request before getting a response."");
        }
        return res;
    }"
org.jsoup.helper.HttpConnection,response(Connection.Response response),,"public Connection response(Connection.Response response) {
        res = response;
        return this;
    }"
